,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.241,0.147,0.162,0.133,
Normalized EBITDA,134661000000.0,125820000000.0,130541000000.0,123136000000.0,
Net Income From Continuing Operation Net Minority Interest,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Reconciled Depreciation,11445000000.0,11519000000.0,11104000000.0,11284000000.0,
Reconciled Cost Of Revenue,210352000000.0,214137000000.0,223546000000.0,212981000000.0,
EBITDA,134661000000.0,125820000000.0,130541000000.0,123136000000.0,
EBIT,123216000000.0,114301000000.0,119437000000.0,111852000000.0,
Net Interest Income,,-183000000.0,-106000000.0,198000000.0,890000000.0
Interest Expense,,3933000000.0,2931000000.0,2645000000.0,2873000000.0
Interest Income,,3750000000.0,2825000000.0,2843000000.0,3763000000.0
Normalized Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Net Income From Continuing And Discontinued Operation,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Total Expenses,267819000000.0,268984000000.0,274891000000.0,256868000000.0,
Total Operating Income As Reported,123216000000.0,114301000000.0,119437000000.0,108949000000.0,
Diluted Average Shares,15408095000.0,15812547000.0,16325819000.0,16864919000.0,
Basic Average Shares,15343783000.0,15744231000.0,16215963000.0,16701272000.0,
Diluted EPS,6.08,6.13,6.11,5.61,
Basic EPS,6.11,6.16,6.15,5.67,
Diluted NI Availto Com Stockholders,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Net Income Common Stockholders,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Net Income,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Net Income Including Noncontrolling Interests,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Net Income Continuous Operations,93736000000.0,96995000000.0,99803000000.0,94680000000.0,
Tax Provision,29749000000.0,16741000000.0,19300000000.0,14527000000.0,
Pretax Income,123485000000.0,113736000000.0,119103000000.0,109207000000.0,
Other Income Expense,269000000.0,-565000000.0,-334000000.0,60000000.0,
Other Non Operating Income Expenses,269000000.0,-565000000.0,-334000000.0,60000000.0,
Net Non Operating Interest Income Expense,,-183000000.0,-106000000.0,198000000.0,890000000.0
Interest Expense Non Operating,,3933000000.0,2931000000.0,2645000000.0,2873000000.0
Interest Income Non Operating,,3750000000.0,2825000000.0,2843000000.0,3763000000.0
Operating Income,123216000000.0,114301000000.0,119437000000.0,108949000000.0,
Operating Expense,57467000000.0,54847000000.0,51345000000.0,43887000000.0,
Research And Development,31370000000.0,29915000000.0,26251000000.0,21914000000.0,
Selling General And Administration,26097000000.0,24932000000.0,25094000000.0,21973000000.0,
Gross Profit,180683000000.0,169148000000.0,170782000000.0,152836000000.0,
Cost Of Revenue,210352000000.0,214137000000.0,223546000000.0,212981000000.0,
Total Revenue,391035000000.0,383285000000.0,394328000000.0,365817000000.0,
Operating Revenue,391035000000.0,383285000000.0,394328000000.0,365817000000.0,
