,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,15116786000.0,15550061000.0,15943425000.0,16426786000.0,
Share Issued,15116786000.0,15550061000.0,15943425000.0,16426786000.0,
Net Debt,76686000000.0,81123000000.0,96423000000.0,89779000000.0,
Total Debt,106629000000.0,111088000000.0,132480000000.0,136522000000.0,
Tangible Book Value,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
Invested Capital,163579000000.0,173234000000.0,170741000000.0,187809000000.0,
Working Capital,-23405000000.0,-1742000000.0,-18577000000.0,9355000000.0,
Net Tangible Assets,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
Capital Lease Obligations,,12842000000.0,12411000000.0,11803000000.0,9842000000.0
Common Stock Equity,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
Total Capitalization,142700000000.0,157427000000.0,149631000000.0,172196000000.0,
Total Equity Gross Minority Interest,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
Stockholders Equity,56950000000.0,62146000000.0,50672000000.0,63090000000.0,
Gains Losses Not Affecting Retained Earnings,-7172000000.0,-11452000000.0,-11109000000.0,163000000.0,
Other Equity Adjustments,-7172000000.0,-11452000000.0,-11109000000.0,163000000.0,
Retained Earnings,-19154000000.0,-214000000.0,-3068000000.0,5562000000.0,
Capital Stock,83276000000.0,73812000000.0,64849000000.0,57365000000.0,
Common Stock,83276000000.0,73812000000.0,64849000000.0,57365000000.0,
Total Liabilities Net Minority Interest,308030000000.0,290437000000.0,302083000000.0,287912000000.0,
Total Non Current Liabilities Net Minority Interest,131638000000.0,145129000000.0,148101000000.0,162431000000.0,
Other Non Current Liabilities,36634000000.0,34391000000.0,21737000000.0,18361000000.0,
Tradeand Other Payables Non Current,9254000000.0,15457000000.0,16657000000.0,24689000000.0,
Long Term Debt And Capital Lease Obligation,85750000000.0,95281000000.0,109707000000.0,119381000000.0,
Long Term Capital Lease Obligation,,11267000000.0,10748000000.0,10275000000.0,8382000000.0
Long Term Debt,85750000000.0,95281000000.0,98959000000.0,109106000000.0,
Current Liabilities,176392000000.0,145308000000.0,153982000000.0,125481000000.0,
Other Current Liabilities,51703000000.0,50010000000.0,52630000000.0,45965000000.0,
Current Deferred Liabilities,8249000000.0,8061000000.0,7912000000.0,7612000000.0,
Current Deferred Revenue,8249000000.0,8061000000.0,7912000000.0,7612000000.0,
Current Debt And Capital Lease Obligation,20879000000.0,15807000000.0,22773000000.0,17141000000.0,
Current Capital Lease Obligation,,1575000000.0,1663000000.0,1528000000.0,1460000000.0
Current Debt,20879000000.0,15807000000.0,21110000000.0,15613000000.0,
Other Current Borrowings,10912000000.0,9822000000.0,11128000000.0,9613000000.0,
Commercial Paper,9967000000.0,5985000000.0,9982000000.0,6000000000.0,
Payables And Accrued Expenses,95561000000.0,71430000000.0,70667000000.0,54763000000.0,
Payables,95561000000.0,71430000000.0,70667000000.0,54763000000.0,
Total Tax Payable,26601000000.0,8819000000.0,6552000000.0,,
Income Tax Payable,26601000000.0,8819000000.0,6552000000.0,,
Accounts Payable,68960000000.0,62611000000.0,64115000000.0,54763000000.0,
Total Assets,364980000000.0,352583000000.0,352755000000.0,351002000000.0,
Total Non Current Assets,211993000000.0,209017000000.0,217350000000.0,216166000000.0,
Other Non Current Assets,55335000000.0,46906000000.0,39053000000.0,38762000000.0,
Non Current Deferred Assets,19499000000.0,17852000000.0,15375000000.0,,
Non Current Deferred Taxes Assets,19499000000.0,17852000000.0,15375000000.0,,
Investments And Advances,91479000000.0,100544000000.0,120805000000.0,127877000000.0,
Other Investments,,,120805000000.0,127877000000.0,100887000000.0
Investmentin Financial Assets,91479000000.0,100544000000.0,120805000000.0,127877000000.0,
Available For Sale Securities,91479000000.0,100544000000.0,120805000000.0,127877000000.0,
Net PPE,45680000000.0,43715000000.0,42117000000.0,49527000000.0,
Accumulated Depreciation,-73448000000.0,-70884000000.0,-72340000000.0,-70283000000.0,
Gross PPE,119128000000.0,114599000000.0,114457000000.0,119810000000.0,
Leases,14233000000.0,12839000000.0,11271000000.0,11023000000.0,
Other Properties,,10661000000.0,10417000000.0,10087000000.0,8570000000.0
Machinery Furniture Equipment,80205000000.0,78314000000.0,81060000000.0,78659000000.0,
Land And Improvements,24690000000.0,23446000000.0,22126000000.0,20041000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,152987000000.0,143566000000.0,135405000000.0,134836000000.0,
Other Current Assets,14287000000.0,14695000000.0,21223000000.0,14111000000.0,
Inventory,7286000000.0,6331000000.0,4946000000.0,6580000000.0,
Receivables,66243000000.0,60985000000.0,60932000000.0,51506000000.0,
Other Receivables,32833000000.0,31477000000.0,32748000000.0,25228000000.0,
Accounts Receivable,33410000000.0,29508000000.0,28184000000.0,26278000000.0,
Cash Cash Equivalents And Short Term Investments,65171000000.0,61555000000.0,48304000000.0,62639000000.0,
Other Short Term Investments,35228000000.0,31590000000.0,24658000000.0,27699000000.0,
Cash And Cash Equivalents,29943000000.0,29965000000.0,23646000000.0,34940000000.0,
Cash Equivalents,2744000000.0,1606000000.0,5100000000.0,17635000000.0,
Cash Financial,27199000000.0,28359000000.0,18546000000.0,17305000000.0,
